Generation,GA_Cost,PSO_Cost,ACS_Cost,MEAF_Cost
137,2058.9653,0.0000,0.0000,0.0000
138,2058.9653,0.0000,0.0000,0.0000
139,2057.6647,0.0000,0.0000,0.0000
140,2056.6960,0.0000,0.0000,0.0000
141,2055.4683,0.0000,0.0000,0.0000
142,2055.0228,0.0000,0.0000,0.0000
143,2055.0228,0.0000,0.0000,0.0000
144,2055.0228,0.0000,0.0000,0.0000
145,2054.2568,0.0000,0.0000,0.0000
146,2054.2568,0.0000,0.0000,0.0000
147,2054.2568,0.0000,0.0000,0.0000
148,2054.2071,0.0000,0.0000,0.0000
149,2053.5994,0.0000,0.0000,0.0000
150,2053.5994,0.0000,0.0000,0.0000
151,2053.5994,0.0000,0.0000,0.0000
152,2053.5771,0.0000,0.0000,0.0000
153,2053.5771,0.0000,0.0000,0.0000
154,2052.7748,0.0000,0.0000,0.0000
155,2052.7748,0.0000,0.0000,0.0000
156,2051.9377,0.0000,0.0000,0.0000
157,2051.9377,0.0000,0.0000,0.0000
158,2051.3573,0.0000,0.0000,0.0000
159,2050.8292,0.0000,0.0000,0.0000
160,2050.2549,0.0000,0.0000,0.0000
161,2050.2549,0.0000,0.0000,0.0000
162,2050.0517,0.0000,0.0000,0.0000
163,2050.0517,0.0000,0.0000,0.0000
164,2049.8119,0.0000,0.0000,0.0000
165,2049.3752,0.0000,0.0000,0.0000
166,2049.3058,0.0000,0.0000,0.0000
167,2049.3058,0.0000,0.0000,0.0000
168,2049.3035,0.0000,0.0000,0.0000
169,2048.9399,0.0000,0.0000,0.0000
170,2048.7113,0.0000,0.0000,0.0000
171,2046.2790,0.0000,0.0000,0.0000
172,2046.2767,0.0000,0.0000,0.0000
173,2046.2309,0.0000,0.0000,0.0000
174,2045.8996,0.0000,0.0000,0.0000
175,2045.8996,0.0000,0.0000,0.0000
176,2045.6735,0.0000,0.0000,0.0000
177,2045.6735,0.0000,0.0000,0.0000
178,2044.8531,0.0000,0.0000,0.0000
179,2044.7477,0.0000,0.0000,0.0000
180,2043.7827,0.0000,0.0000,0.0000
181,2043.7001,0.0000,0.0000,0.0000
182,2043.1660,0.0000,0.0000,0.0000
183,2043.0596,0.0000,0.0000,0.0000
184,2043.0502,0.0000,0.0000,0.0000
185,2043.0485,0.0000,0.0000,0.0000
186,2043.0287,0.0000,0.0000,0.0000
187,2041.5267,0.0000,0.0000,0.0000
188,2041.4385,0.0000,0.0000,0.0000
189,2041.4385,0.0000,0.0000,0.0000
190,2041.4385,0.0000,0.0000,0.0000
191,2041.4385,0.0000,0.0000,0.0000
192,2041.1844,0.0000,0.0000,0.0000
193,2040.2512,0.0000,0.0000,0.0000
194,2039.7126,0.0000,0.0000,0.0000
195,2038.9983,0.0000,0.0000,0.0000
196,2038.1839,0.0000,0.0000,0.0000
197,2037.9351,0.0000,0.0000,0.0000
198,2037.9351,0.0000,0.0000,0.0000
199,2037.9351,0.0000,0.0000,0.0000
200,2037.9351,0.0000,0.0000,0.0000
201,2037.9351,0.0000,0.0000,0.0000
202,2037.9351,0.0000,0.0000,0.0000
203,2037.9351,0.0000,0.0000,0.0000
204,2037.1775,0.0000,0.0000,0.0000
205,2037.1775,0.0000,0.0000,0.0000
206,2035.8298,0.0000,0.0000,0.0000
207,2035.2708,0.0000,0.0000,0.0000
208,2035.2708,0.0000,0.0000,0.0000
209,2034.8319,0.0000,0.0000,0.0000
210,2034.8319,0.0000,0.0000,0.0000
